"database_id","target_id","comparator_id","outcome_id","analysis_id","interaction_covariate_id","covariate_id","target_mean_before","comparator_mean_before","std_diff_before","target_mean_after","comparator_mean_after","std_diff_after"
"HIRA",763,680,663,1,NA,4052079210,0.02,0.013,0.058,0.018,0.013,0.043
"HIRA",763,680,663,1,NA,4086195210,0.02,0.013,0.058,0.014,0.013,0.005
"HIRA",763,680,663,1,NA,4086687210,0.02,0.013,0.058,0.015,0.013,0.018
"HIRA",763,680,663,1,NA,4168216202,0.02,0.013,0.058,0.018,0.013,0.036
"HIRA",763,680,663,1,NA,4168216210,0.02,0.013,0.058,0.018,0.013,0.036
"HIRA",763,680,663,1,NA,4145825210,0.053,0.041,0.058,0.04,0.042,-0.012
"HIRA",763,680,663,1,NA,42596177210,0.053,0.041,0.058,0.048,0.041,0.034
"HIRA",763,680,663,1,NA,444094210,0.003,0.006,-0.058,0.007,0.006,0.013
"HIRA",763,680,663,1,NA,4047648210,0.003,0.006,-0.058,0.003,0.006,-0.056
"HIRA",763,680,663,1,NA,4049417202,0.003,0.006,-0.058,0.001,0.006,-0.082
"HIRA",763,680,663,1,NA,4049417210,0.003,0.006,-0.058,0.001,0.006,-0.082
"HIRA",763,680,663,1,NA,4056770202,0.003,0.006,-0.058,0.003,0.007,-0.062
"HIRA",763,680,663,1,NA,4056770210,0.003,0.006,-0.058,0.003,0.007,-0.062
"HIRA",763,680,663,1,NA,4071876210,0.003,0.006,-0.058,0.002,0.006,-0.063
"HIRA",763,680,663,1,NA,4248028210,0.023,0.015,0.058,0.022,0.015,0.053
"HIRA",763,680,663,1,NA,23986202,0.005,0.002,0.058,0.004,0.002,0.04
"HIRA",763,680,663,1,NA,133803202,0.005,0.002,0.058,0.005,0.002,0.059
"HIRA",763,680,663,1,NA,133803210,0.005,0.002,0.058,0.005,0.002,0.059
"HIRA",763,680,663,1,NA,137792202,0.005,0.002,0.058,0.004,0.002,0.039
"HIRA",763,680,663,1,NA,137792210,0.005,0.002,0.058,0.004,0.002,0.039
"HIRA",763,680,663,1,NA,138502202,0.005,0.002,0.058,0.005,0.002,0.062
"HIRA",763,680,663,1,NA,138502210,0.005,0.002,0.058,0.005,0.002,0.062
"HIRA",763,680,663,1,NA,138845202,0.005,0.002,0.058,0.009,0.002,0.093
"HIRA",763,680,663,1,NA,140020210,0.005,0.002,0.058,0.004,0.002,0.039
"HIRA",763,680,663,1,NA,192357202,0.005,0.002,0.058,0.004,0.002,0.043
"HIRA",763,680,663,1,NA,192357210,0.005,0.002,0.058,0.004,0.002,0.043
"HIRA",763,680,663,1,NA,195596202,0.005,0.002,0.058,0.005,0.002,0.053
"HIRA",763,680,663,1,NA,195596210,0.005,0.002,0.058,0.005,0.002,0.053
"HIRA",763,680,663,1,NA,378135210,0.005,0.002,0.058,0.005,0.002,0.055
"HIRA",763,680,663,1,NA,433516202,0.005,0.002,0.058,0.005,0.002,0.057
"HIRA",763,680,663,1,NA,437496202,0.005,0.002,0.058,0.003,0.002,0.018
"HIRA",763,680,663,1,NA,437496210,0.005,0.002,0.058,0.003,0.002,0.018
"HIRA",763,680,663,1,NA,443388210,0.005,0.002,0.058,0.005,0.002,0.059
"HIRA",763,680,663,1,NA,4001171202,0.005,0.002,0.058,0.005,0.002,0.06
"HIRA",763,680,663,1,NA,4001171210,0.005,0.002,0.058,0.005,0.002,0.06
"HIRA",763,680,663,1,NA,4022202210,0.005,0.002,0.058,0.003,0.002,0.018
"HIRA",763,680,663,1,NA,4041510210,0.005,0.002,0.058,0.005,0.002,0.062
"HIRA",763,680,663,1,NA,4048767210,0.005,0.002,0.058,0.005,0.002,0.059
"HIRA",763,680,663,1,NA,4053604202,0.005,0.002,0.058,0.004,0.002,0.034
"HIRA",763,680,663,1,NA,4053604210,0.005,0.002,0.058,0.004,0.002,0.034
"HIRA",763,680,663,1,NA,4130859210,0.005,0.002,0.058,0.003,0.002,0.018
"HIRA",763,680,663,1,NA,4153882210,0.005,0.002,0.058,0.003,0.002,0.02
"HIRA",763,680,663,1,NA,4185105210,0.005,0.002,0.058,0.004,0.002,0.039
"HIRA",763,680,663,1,NA,4187218202,0.005,0.002,0.058,0.004,0.002,0.042
"HIRA",763,680,663,1,NA,4187218210,0.005,0.002,0.058,0.004,0.002,0.042
"HIRA",763,680,663,1,NA,4196499210,0.005,0.002,0.058,0.004,0.002,0.039
"HIRA",763,680,663,1,NA,4208264202,0.005,0.002,0.058,0.003,0.002,0.014
"HIRA",763,680,663,1,NA,4242875202,0.005,0.002,0.058,0.005,0.002,0.056
"HIRA",763,680,663,1,NA,4244662202,0.005,0.002,0.058,0.004,0.002,0.04
"HIRA",763,680,663,1,NA,4252535210,0.005,0.002,0.058,0.005,0.002,0.06
"HIRA",763,680,663,1,NA,4306082210,0.005,0.002,0.058,0.004,0.002,0.042
"HIRA",763,680,663,1,NA,4334322210,0.005,0.002,0.058,0.005,0.002,0.059
"HIRA",763,680,663,1,NA,40482014210,0.005,0.002,0.058,0.003,0.002,0.018
"HIRA",763,680,663,1,NA,40484156210,0.005,0.002,0.058,0.005,0.002,0.06
"HIRA",763,680,663,1,NA,4195698210,0.075,0.061,0.058,0.049,0.065,-0.071
"HIRA",763,680,663,1,NA,73925210,0.01,0.005,0.057,0.007,0.005,0.025
"HIRA",763,680,663,1,NA,441177202,0.01,0.005,0.057,0.007,0.005,0.025
"HIRA",763,680,663,1,NA,441177210,0.01,0.005,0.057,0.007,0.005,0.025
"HIRA",763,680,663,1,NA,4057588210,0.01,0.005,0.057,0.007,0.006,0.02
"HIRA",763,680,663,1,NA,4201745202,0.01,0.005,0.057,0.01,0.005,0.052
"HIRA",763,680,663,1,NA,4278672210,0.01,0.005,0.057,0.006,0.005,0.014
"HIRA",763,680,663,1,NA,43530727210,0.01,0.005,0.057,0.014,0.004,0.105
"HIRA",763,680,663,1,NA,46269791210,0.01,0.005,0.057,0.005,0.005,0.002
"HIRA",763,680,663,1,NA,194081202,0.068,0.054,0.057,0.053,0.055,-0.009
"HIRA",763,680,663,1,NA,194081210,0.068,0.054,0.057,0.053,0.055,-0.009
"HIRA",763,680,663,1,NA,197236202,0.025,0.017,0.057,0.029,0.017,0.077
"HIRA",763,680,663,1,NA,4031856210,0.025,0.017,0.057,0.02,0.017,0.024
"HIRA",763,680,663,1,NA,4061050202,0.025,0.017,0.057,0.02,0.017,0.024
"HIRA",763,680,663,1,NA,4061050210,0.025,0.017,0.057,0.02,0.017,0.024
"HIRA",763,680,663,1,NA,4183452210,0.108,0.091,0.057,0.105,0.095,0.036
"HIRA",763,680,663,1,NA,377091210,0.033,0.023,0.057,0.034,0.022,0.073
"HIRA",763,680,663,1,NA,36685964210,0.033,0.023,0.057,0.026,0.024,0.011
"HIRA",763,680,663,1,NA,373747210,0.028,0.019,0.057,0.039,0.018,0.126
"HIRA",763,680,663,1,NA,73302210,0.015,0.009,0.057,0.014,0.009,0.044
"HIRA",763,680,663,1,NA,442560210,0.015,0.009,0.057,0.014,0.009,0.047
"HIRA",763,680,663,1,NA,4030847202,0.015,0.009,0.057,0.009,0.009,-0.002
"HIRA",763,680,663,1,NA,4030847210,0.015,0.009,0.057,0.009,0.009,-0.002
"HIRA",763,680,663,1,NA,4204991202,0.015,0.009,0.057,0.017,0.009,0.069
"HIRA",763,680,663,1,NA,4204991210,0.015,0.009,0.057,0.017,0.009,0.069
"HIRA",763,680,663,1,NA,46273620210,0.015,0.009,0.057,0.009,0.01,-0.008
"HIRA",763,680,663,1,NA,4162282210,0.882,0.863,0.057,0.855,0.87,-0.041
"HIRA",763,680,663,1,NA,4180170210,0.882,0.863,0.057,0.855,0.87,-0.041
"HIRA",763,680,663,1,NA,4042074210,0.111,0.093,0.057,0.098,0.094,0.012
"HIRA",763,680,663,1,NA,376707202,0.078,0.063,0.056,0.06,0.066,-0.024
"HIRA",763,680,663,1,NA,77734202,0.008,0.003,0.056,0.004,0.004,0.005
"HIRA",763,680,663,1,NA,77734210,0.008,0.003,0.056,0.004,0.004,0.005
"HIRA",763,680,663,1,NA,196044202,0.008,0.003,0.056,0.005,0.003,0.025
"HIRA",763,680,663,1,NA,317002202,0.008,0.003,0.056,0.005,0.003,0.031
"HIRA",763,680,663,1,NA,377888210,0.008,0.003,0.056,0.006,0.003,0.039
"HIRA",763,680,663,1,NA,436096202,0.008,0.003,0.056,0.005,0.003,0.03
"HIRA",763,680,663,1,NA,4009309210,0.008,0.003,0.056,0.007,0.004,0.053
"HIRA",763,680,663,1,NA,4053828210,0.008,0.003,0.056,0.005,0.004,0.02
"HIRA",763,680,663,1,NA,4134322202,0.008,0.003,0.056,0.005,0.004,0.022
"HIRA",763,680,663,1,NA,4134322210,0.008,0.003,0.056,0.005,0.004,0.022
"HIRA",763,680,663,1,NA,4154168210,0.008,0.003,0.056,0.004,0.004,0.006
"HIRA",763,680,663,1,NA,46269791202,0.008,0.003,0.056,0.004,0.003,0.009
"HIRA",763,680,663,1,NA,4243411210,0.01,0.016,-0.056,0.006,0.016,-0.094
"HIRA",763,680,663,1,NA,25297202,0.191,0.214,-0.056,0.182,0.217,-0.086
"HIRA",763,680,663,1,NA,4055224210,0.02,0.029,-0.056,0.022,0.029,-0.044
"HIRA",763,680,663,1,NA,31967202,0.088,0.104,-0.056,0.079,0.105,-0.089
"HIRA",763,680,663,1,NA,440059210,0.118,0.101,0.056,0.093,0.105,-0.04
"HIRA",763,680,663,1,NA,260123202,0.093,0.077,0.056,0.08,0.081,-0.004
"HIRA",763,680,663,1,NA,4194153210,0.075,0.061,0.056,0.049,0.066,-0.072
"HIRA",763,680,663,1,NA,4176944210,0.173,0.195,-0.056,0.162,0.199,-0.098
"HIRA",763,680,663,1,NA,196436210,0.018,0.011,0.056,0.013,0.012,0.011
"HIRA",763,680,663,1,NA,381270202,0.018,0.011,0.056,0.03,0.011,0.138
"HIRA",763,680,663,1,NA,381270210,0.018,0.011,0.056,0.03,0.011,0.138
"HIRA",763,680,663,1,NA,4112141210,0.018,0.011,0.056,0.015,0.011,0.031
"HIRA",763,680,663,1,NA,4205256210,0.018,0.011,0.056,0.013,0.011,0.014
"HIRA",763,680,663,1,NA,4329041202,0.068,0.055,0.055,0.062,0.057,0.023
"HIRA",763,680,663,1,NA,4214376202,0.085,0.071,0.055,0.078,0.071,0.029
"HIRA",763,680,663,1,NA,138387202,0.008,0.013,-0.055,0.005,0.013,-0.087
"HIRA",763,680,663,1,NA,440069210,0.008,0.013,-0.055,0.005,0.013,-0.082
"HIRA",763,680,663,1,NA,4114222210,0.008,0.013,-0.055,0.007,0.013,-0.057
"HIRA",763,680,663,1,NA,24970210,0.05,0.039,0.055,0.039,0.04,-0.006
"HIRA",763,680,663,1,NA,440647210,0.05,0.039,0.055,0.042,0.04,0.01
"HIRA",763,680,663,1,NA,45763613210,0.05,0.039,0.055,0.045,0.039,0.031
"HIRA",763,680,663,1,NA,74125202,0.005,0.01,-0.055,0.003,0.01,-0.094
"HIRA",763,680,663,1,NA,74125210,0.005,0.01,-0.055,0.003,0.01,-0.094
"HIRA",763,680,663,1,NA,317299202,0.005,0.01,-0.055,0.006,0.01,-0.04
"HIRA",763,680,663,1,NA,442604210,0.038,0.028,0.055,0.031,0.027,0.027
"HIRA",763,680,663,1,NA,4131007210,0.038,0.028,0.055,0.039,0.028,0.062
"HIRA",763,680,663,1,NA,432585202,0.013,0.019,-0.055,0.012,0.019,-0.063
"HIRA",763,680,663,1,NA,4129244210,0.013,0.019,-0.055,0.011,0.02,-0.069
"HIRA",763,680,663,1,NA,4130022210,0.013,0.019,-0.055,0.011,0.02,-0.069
"HIRA",763,680,663,1,NA,4131598210,0.013,0.019,-0.055,0.008,0.019,-0.101
"HIRA",763,680,663,1,NA,4131909210,0.013,0.019,-0.055,0.011,0.02,-0.069
"HIRA",763,680,663,1,NA,4191597202,0.013,0.019,-0.055,0.013,0.02,-0.055
"HIRA",763,680,663,1,NA,4028876210,0.804,0.782,0.055,0.778,0.786,-0.021
"HIRA",763,680,663,1,NA,22350202,0.02,0.013,0.055,0.015,0.013,0.013
"HIRA",763,680,663,1,NA,22350210,0.02,0.013,0.055,0.015,0.013,0.013
"HIRA",763,680,663,1,NA,314378202,0.02,0.013,0.055,0.015,0.012,0.029
"HIRA",763,680,663,1,NA,314378210,0.02,0.013,0.055,0.015,0.012,0.029
"HIRA",763,680,663,1,NA,444101210,0.02,0.013,0.055,0.015,0.012,0.029
"HIRA",763,680,663,1,NA,260125202,0.048,0.037,0.054,0.046,0.038,0.042
"HIRA",763,680,663,1,NA,260125210,0.048,0.037,0.054,0.046,0.038,0.042
"HIRA",763,680,663,1,NA,4165112210,0.048,0.037,0.054,0.046,0.038,0.042
"HIRA",763,680,663,1,NA,80494210,0.013,0.007,0.054,0.009,0.008,0.007
"HIRA",763,680,663,1,NA,201916210,0.013,0.007,0.054,0.009,0.007,0.017
"HIRA",763,680,663,1,NA,372409202,0.013,0.007,0.054,0.009,0.008,0.01
"HIRA",763,680,663,1,NA,373478202,0.013,0.007,0.054,0.01,0.007,0.034
"HIRA",763,680,663,1,NA,373478210,0.013,0.007,0.054,0.01,0.007,0.034
"HIRA",763,680,663,1,NA,36713581210,0.013,0.007,0.054,0.009,0.007,0.017
"HIRA",763,680,663,1,NA,42537709210,0.033,0.024,0.054,0.026,0.024,0.009
"HIRA",763,680,663,1,NA,4029043210,0.131,0.113,0.054,0.124,0.116,0.023
"HIRA",763,680,663,1,NA,138102210,0.023,0.015,0.054,0.02,0.016,0.036
"HIRA",763,680,663,1,NA,437677202,0.023,0.015,0.054,0.017,0.015,0.017
"HIRA",763,680,663,1,NA,437677210,0.023,0.015,0.054,0.017,0.015,0.017
"HIRA",763,680,663,1,NA,442013210,0.023,0.015,0.054,0.016,0.017,-0.003
"HIRA",763,680,663,1,NA,4116964210,0.023,0.015,0.054,0.02,0.016,0.032
"HIRA",763,680,663,1,NA,4140090210,0.023,0.015,0.054,0.037,0.014,0.141
"HIRA",763,680,663,1,NA,4189293210,0.023,0.015,0.054,0.016,0.016,0.005
"HIRA",763,680,663,1,NA,4028365210,0.03,0.022,0.054,0.019,0.024,-0.029
"HIRA",763,680,663,1,NA,4214376210,0.085,0.071,0.054,0.078,0.071,0.027
"HIRA",763,680,663,1,NA,4130373210,0.02,0.028,-0.054,0.013,0.027,-0.105
"HIRA",763,680,663,1,NA,433456202,0.06,0.048,0.053,0.056,0.048,0.036
"HIRA",763,680,663,1,NA,433456210,0.06,0.048,0.053,0.056,0.048,0.036
"HIRA",763,680,663,1,NA,257011210,0.103,0.12,-0.053,0.098,0.121,-0.073
"HIRA",763,680,663,1,NA,4183953210,0.04,0.03,0.053,0.035,0.031,0.022
"HIRA",763,680,663,1,NA,4191479202,0.04,0.03,0.053,0.027,0.032,-0.031
"HIRA",763,680,663,1,NA,4191479210,0.04,0.03,0.053,0.027,0.032,-0.031
"HIRA",763,680,663,1,NA,4224259210,0.04,0.03,0.053,0.027,0.032,-0.031
"HIRA",763,680,663,1,NA,4308811210,0.04,0.03,0.053,0.031,0.031,-0.004
"HIRA",763,680,663,1,NA,42536525210,0.04,0.03,0.053,0.027,0.032,-0.031
"HIRA",763,680,663,1,NA,18003,0.015,0.009,0.053,0.014,0.009,0.045
"HIRA",763,680,663,1,NA,377884202,0.015,0.009,0.053,0.01,0.01,0.002
"HIRA",763,680,663,1,NA,4048393210,0.015,0.009,0.053,0.009,0.01,-0.01
"HIRA",763,680,663,1,NA,4211974210,0.015,0.009,0.053,0.01,0.009,0.009
"HIRA",763,680,663,1,NA,4243475210,0.015,0.009,0.053,0.01,0.009,0.009
"HIRA",763,680,663,1,NA,4252853210,0.015,0.009,0.053,0.01,0.009,0.009
"HIRA",763,680,663,1,NA,36676304210,0.015,0.009,0.053,0.01,0.009,0.009
"HIRA",763,680,663,1,NA,192671202,0.003,0.006,-0.053,0.007,0.006,0.019
"HIRA",763,680,663,1,NA,261687202,0.003,0.006,-0.053,0.001,0.006,-0.079
"HIRA",763,680,663,1,NA,4009389210,0.003,0.006,-0.053,0.001,0.006,-0.073
"HIRA",763,680,663,1,NA,4009585202,0.003,0.006,-0.053,0.001,0.006,-0.073
"HIRA",763,680,663,1,NA,4033336210,0.003,0.006,-0.053,0.002,0.006,-0.058
"HIRA",763,680,663,1,NA,4087647210,0.003,0.006,-0.053,0.002,0.006,-0.057
"HIRA",763,680,663,1,NA,4141128210,0.003,0.006,-0.053,0.001,0.006,-0.073
"HIRA",763,680,663,1,NA,4151204202,0.003,0.006,-0.053,0.001,0.006,-0.079
"HIRA",763,680,663,1,NA,4156515210,0.003,0.006,-0.053,0.001,0.005,-0.072
"HIRA",763,680,663,1,NA,4173734202,0.003,0.006,-0.053,0.003,0.006,-0.057
"HIRA",763,680,663,1,NA,4173734210,0.003,0.006,-0.053,0.003,0.006,-0.057
"HIRA",763,680,663,1,NA,4185563210,0.003,0.006,-0.053,0.001,0.006,-0.073
"HIRA",763,680,663,1,NA,4236484210,0.003,0.006,-0.053,0.001,0.006,-0.073
"HIRA",763,680,663,1,NA,4263898202,0.003,0.006,-0.053,0.002,0.006,-0.059
"HIRA",763,680,663,1,NA,4263898210,0.003,0.006,-0.053,0.002,0.006,-0.059
"HIRA",763,680,663,1,NA,4332246202,0.003,0.006,-0.053,0.001,0.006,-0.072
"HIRA",763,680,663,1,NA,4332246210,0.003,0.006,-0.053,0.001,0.006,-0.072
"HIRA",763,680,663,1,NA,4353709202,0.003,0.006,-0.053,0.001,0.006,-0.072
"HIRA",763,680,663,1,NA,42872381202,0.003,0.006,-0.053,0.001,0.006,-0.073
"HIRA",763,680,663,1,NA,42872381210,0.003,0.006,-0.053,0.001,0.006,-0.073
"HIRA",763,680,663,1,NA,25297210,0.415,0.389,0.052,0.376,0.399,-0.047
"HIRA",763,680,663,1,NA,442077202,0.08,0.067,0.052,0.072,0.067,0.018
"HIRA",763,680,663,1,NA,374375202,0.013,0.019,-0.052,0.009,0.019,-0.091
"HIRA",763,680,663,1,NA,374375210,0.013,0.019,-0.052,0.009,0.019,-0.091
"HIRA",763,680,663,1,NA,4131101210,0.013,0.019,-0.052,0.009,0.019,-0.091
"HIRA",763,680,663,1,NA,4150372210,0.013,0.019,-0.052,0.016,0.02,-0.027
"HIRA",763,680,663,1,NA,4155902210,0.013,0.019,-0.052,0.009,0.019,-0.091
"HIRA",763,680,663,1,NA,376713210,0.01,0.005,0.052,0.014,0.004,0.1
"HIRA",763,680,663,1,NA,4193167210,0.01,0.005,0.052,0.015,0.006,0.092
"HIRA",763,680,663,1,NA,140673210,0.05,0.062,-0.052,0.041,0.062,-0.095
"HIRA",763,680,663,1,NA,439103210,0.018,0.011,0.052,0.01,0.013,-0.02
"HIRA",763,680,663,1,NA,4134595210,0.045,0.035,0.052,0.044,0.035,0.045
"HIRA",763,680,663,1,NA,76786210,0.008,0.013,-0.051,0.004,0.014,-0.106
"HIRA",763,680,663,1,NA,133420210,0.008,0.013,-0.051,0.007,0.013,-0.053
"HIRA",763,680,663,1,NA,140821210,0.008,0.013,-0.051,0.009,0.013,-0.039
"HIRA",763,680,663,1,NA,4080762210,0.008,0.013,-0.051,0.005,0.012,-0.078
"HIRA",763,680,663,1,NA,4116778210,0.008,0.013,-0.051,0.008,0.013,-0.051
"HIRA",763,680,663,1,NA,4156115210,0.008,0.013,-0.051,0.007,0.013,-0.053
"HIRA",763,680,663,1,NA,4218106210,0.008,0.013,-0.051,0.005,0.012,-0.078
"HIRA",763,680,663,1,NA,77630202,0.03,0.022,0.051,0.019,0.023,-0.029
"HIRA",763,680,663,1,NA,8532001,0.583,0.608,-0.051,0.553,0.611,-0.119
"HIRA",763,680,663,1,NA,8507001,0.417,0.392,0.051,0.447,0.389,0.119
"HIRA",763,680,663,1,NA,4103992210,0.02,0.014,0.051,0.015,0.013,0.019
"HIRA",763,680,663,1,NA,4108636210,0.02,0.014,0.051,0.014,0.014,-0.003
"HIRA",763,680,663,1,NA,4166909210,0.02,0.014,0.051,0.014,0.015,-0.008
"HIRA",763,680,663,1,NA,319835210,0.028,0.02,0.051,0.024,0.019,0.035
"HIRA",763,680,663,1,NA,139900202,0.048,0.059,-0.051,0.033,0.062,-0.135
"HIRA",763,680,663,1,NA,81454202,0.023,0.016,0.051,0.018,0.017,0.004
"HIRA",763,680,663,1,NA,444209210,0.023,0.016,0.051,0.02,0.016,0.033
"HIRA",763,680,663,1,NA,73001202,0.005,0.009,-0.051,0.004,0.01,-0.075
"HIRA",763,680,663,1,NA,435515202,0.005,0.009,-0.051,0.005,0.009,-0.046
"HIRA",763,680,663,1,NA,435515210,0.005,0.009,-0.051,0.005,0.009,-0.046
"HIRA",763,680,663,1,NA,4085100210,0.251,0.23,0.051,0.263,0.232,0.072
